,,Skill / Job Role(Historical trends & salary statistics),Rank6 Months to3 Mar 2019,RankChangeYear-on-Year,Median Salary6 Months to3 Mar 2019,Median Salary% ChangeYear-on-Year,HistoricalPermanentJob Ads,LiveJobVacancies
2843,NA,2nd Line Network Engineer,"1,048",114,"£30,000",17.64%,59 (0.040%),4
2844,NA,Account Executive,"1,048",39,"£63,750",-8.92%,59 (0.040%),19
2845,NA,Security Tester,"1,048",66,"£60,000",-9.09%,59 (0.040%),14
2846,NA,3rd Line Server Engineer,"1,048",60,"£37,500",-,59 (0.040%),1
2847,NA,Data Analytics Consultant,"1,048",63,"£50,500",1.00%,59 (0.040%),1
2848,NA,Digital Agile Project Manager,"1,048",69,"£71,750",30.45%,59 (0.040%),2
2849,NA,Host Intrusion Detection System,"1,048",74,"£69,500",32.38%,59 (0.040%),7
2850,NA,Yarn,"1,048",66,"£45,000",-10.00%,59 (0.040%),46
2851,NA,Adobe Premiere,"1,049",80,"£35,000",16.66%,58 (0.039%),28
2852,NA,Capita,"1,049",60,"£27,346",-39.23%,58 (0.039%),17
2853,NA,WooCommerce,"1,049",73,"£37,500",15.38%,58 (0.039%),31
2854,NA,Zscaler,"1,049",59,"£62,500",9.64%,58 (0.039%),10
2855,NA,Okta,"1,049",79,"£60,000",9.09%,58 (0.039%),19
2856,NA,WAN Optimisation,"1,049",87,"£57,500",9.52%,58 (0.039%),5
2857,NA,Systematic Trading,"1,049",46,"£85,000",-10.52%,58 (0.039%),5
2858,NA,Application Virtualisation,"1,049",23,"£42,500",-15.00%,58 (0.039%),10
2859,NA,Immutable Infrastructure,"1,049",114,"£57,019",-18.54%,58 (0.039%),20
2860,NA,FMEA,"1,049",97,"£45,000",-10.00%,58 (0.039%),30
2861,NA,Markov Model,"1,049",101,"£115,000",64.28%,58 (0.039%),2
2862,NA,DC/OS,"1,049",122,"£60,000",9.09%,58 (0.039%),27
2863,NA,RTP,"1,049",45,"£51,250",2.50%,58 (0.039%),6
2864,NA,Polymer,"1,049",15,"£47,500",11.76%,58 (0.039%),12
2865,NA,Alfresco,"1,049",93,"£52,500",-4.54%,58 (0.039%),8
2866,NA,Verilog,"1,049",68,"£47,500",-5.00%,58 (0.039%),71
2867,NA,Front Arena,"1,049",133,"£65,000",-40.90%,58 (0.039%),3
2868,NA,Postfix,"1,049",104,"£55,750",11.50%,58 (0.039%),13
2869,NA,Resource Manager,"1,049",124,"£54,750",21.66%,58 (0.039%),5
2870,NA,Junior Network Engineer,"1,049",97,"£25,000",-7.40%,58 (0.039%),8
2871,NA,Graduate Support Analyst,"1,049",25,"£23,500",4.44%,58 (0.039%),10
2872,NA,Recruitment Resourcer,"1,049",107,"£17,000",-27.65%,58 (0.039%),3
2873,NA,Service Operations Manager,"1,049",83,"£65,000",8.33%,58 (0.039%),1
2874,NA,Application Support Team Leader,"1,049",77,"£46,500",3.33%,58 (0.039%),8
2875,NA,PostgreSQL Developer,"1,049",89,"£57,500",-4.16%,58 (0.039%),10
2876,NA,SAP MM Analyst,"1,049",74,"£52,500",-4.54%,58 (0.039%),NA
2877,NA,AWS Administrator,"1,049",79,"£55,000",8.91%,58 (0.039%),15
2878,NA,Windows DevOps Engineer,"1,049",16,"£66,250",-1.85%,58 (0.039%),17
2879,NA,Tableau Analyst,"1,049",59,"£45,000",-,58 (0.039%),7
2880,NA,Cisco UCCE,"1,049",24,"£62,500",8.69%,58 (0.039%),8
2881,NA,Firebase,"1,049",62,"£60,000",50.00%,58 (0.039%),20
2882,NA,Computer Security,"1,050",45,"£60,000",11.11%,57 (0.038%),9
2883,NA,Server Patching,"1,050",97,"£40,000",37.93%,57 (0.038%),12
2884,NA,Fraud Detection,"1,050",49,"£70,000",16.66%,57 (0.038%),11
2885,NA,Interaction Design,"1,050",78,"£50,000",-4.76%,57 (0.038%),9
2886,NA,APMG,"1,050",94,"£60,000",-4.00%,57 (0.038%),NA
2887,NA,EMIR,"1,050",34,"£62,500",-10.71%,57 (0.038%),5
2888,NA,ISO 20022,"1,050",120,"£70,000",-,57 (0.038%),NA
2889,NA,Jupyter,"1,050",105,"£80,000",36.17%,57 (0.038%),11
2890,NA,Video Editing,"1,050",89,"£32,500",-9.09%,57 (0.038%),25
2891,NA,SAP Payroll,"1,050",86,"£46,500",-15.45%,57 (0.038%),2
2892,NA,Audit Manager,"1,050",61,"£67,500",10.65%,57 (0.038%),15
2893,NA,Oracle Functional Consultant,"1,050",43,"£64,000",14.79%,57 (0.038%),12
2894,NA,Senior Security Architect,"1,050",78,"£80,000",3.22%,57 (0.038%),13
2895,NA,Senior SQL Server Developer,"1,050",45,"£55,000",-,57 (0.038%),8
2896,NA,Windows Systems Engineer,"1,050",-13,"£52,000",-0.95%,57 (0.038%),10
2897,NA,Network Security Architect,"1,050",98,"£72,500",-,57 (0.038%),18
2898,NA,Senior Cybersecurity Analyst,"1,050",114,"£60,000",-25.00%,57 (0.038%),4
2899,NA,Web Applications Support,"1,050",87,"£50,000",25.00%,57 (0.038%),6
2900,NA,Automation Consultant,"1,050",41,"£72,500",-4.60%,57 (0.038%),13
2901,NA,Ambari,"1,050",100,"£77,500",29.16%,57 (0.038%),12
2902,NA,MailChimp,"1,050",77,"£27,500",-28.57%,57 (0.038%),26
2903,NA,Altiris,"1,051",63,"£45,000",20.00%,56 (0.038%),15
2904,NA,Arista,"1,051",19,"£75,000",11.11%,56 (0.038%),15
2905,NA,Bigtable,"1,051",95,"£45,000",-10.00%,56 (0.038%),2
2906,NA,Strategic Management,"1,051",82,"£65,000",25.60%,56 (0.038%),9
2907,NA,Model-Based Systems Engineering,"1,051",116,"£47,500",-19.14%,56 (0.038%),21
2908,NA,RMADS,"1,051",79,"£55,000",-4.34%,56 (0.038%),11
2909,NA,WinDbg,"1,051",106,"£70,000",-,56 (0.038%),NA
2910,NA,Smartcard,"1,051",78,"£47,500",5.55%,56 (0.038%),4
2911,NA,Technical Support Consultant,"1,051",61,"£40,000",33.33%,56 (0.038%),8
2912,NA,Senior Technical Architect,"1,051",97,"£70,000",-17.64%,56 (0.038%),15
2913,NA,Test Specialist,"1,051",72,"£50,000",15.60%,56 (0.038%),6
2914,NA,Unix Support Analyst,"1,051",103,"£45,000",-14.28%,56 (0.038%),10
2915,NA,Project Officer,"1,051",68,"£30,000",-0.82%,56 (0.038%),11
2916,NA,Senior C Software Engineer,"1,051",40,"£45,000",-18.18%,56 (0.038%),13
2917,NA,Trainee Network Engineer,"1,051",135,"£15,000",-50.00%,56 (0.038%),2
2918,NA,Business Change Consultant,"1,051",115,"£85,000",30.76%,56 (0.038%),2
2919,NA,3rd Line Server Support,"1,051",82,"£43,000",14.66%,56 (0.038%),1
2920,NA,PHP LAMP Developer,"1,051",35,"£45,000",12.50%,56 (0.038%),10
2921,NA,Windows Specialist,"1,051",104,"£60,000",20.00%,56 (0.038%),8
2922,NA,ScrumMaster Project Manager,"1,051",92,"£60,000",9.09%,56 (0.038%),6
2923,NA,Trainee Technician,"1,051",125,"£15,000",-18.30%,56 (0.038%),46
2924,NA,Java Android Developer,"1,051",63,"£52,500",31.25%,56 (0.038%),9
2925,NA,Red Box,"1,052",113,"£62,500",50.60%,55 (0.037%),1
2926,NA,Optimizely,"1,052",93,"£51,500",37.33%,55 (0.037%),30
2927,NA,OSINT,"1,052",99,"£55,000",3.77%,55 (0.037%),14
2928,NA,Computational Linguistics,"1,052",112,"£57,500",-,55 (0.037%),2
2929,NA,Single Customer View,"1,052",103,"£48,750",-9.30%,55 (0.037%),15
2930,NA,Adaptive Web Design,"1,052",75,"£60,000",-4.00%,55 (0.037%),18
2931,NA,TACACS,"1,052",47,"£52,500",5.00%,55 (0.037%),12
2932,NA,ISEB Practitioner,"1,052",55,"£45,000",7.14%,55 (0.037%),7
2933,NA,P3O,"1,052",87,"£49,000",-24.03%,55 (0.037%),4
2934,NA,PostGIS,"1,052",85,"£57,500",-,55 (0.037%),20
2935,NA,Oracle GoldenGate,"1,052",46,"£55,000",10.00%,55 (0.037%),10
2936,NA,SAPUI5,"1,052",22,"£67,500",28.57%,55 (0.037%),10
2937,NA,RAML,"1,052",82,"£55,000",-24.13%,55 (0.037%),9
2938,NA,DNN,"1,052",55,"£55,000",-15.38%,55 (0.037%),7
2939,NA,Oracle Cash Management,"1,052",89,"£54,000",13.68%,55 (0.037%),6
2940,NA,Configuration Manager,"1,052",58,"£50,000",-11.11%,55 (0.037%),18
2941,NA,SAP HR Consultant,"1,052",68,"£40,500",-10.00%,55 (0.037%),3
2942,NA,Performance Analyst,"1,052",85,"£42,500",6.25%,55 (0.037%),7
2943,NA,Network Infrastructure Manager,"1,052",31,"£55,000",-8.33%,55 (0.037%),2
2944,NA,Platform Architect,"1,052",96,"£80,000",-3.03%,55 (0.037%),10
2945,NA,Application Security Specialist,"1,052",98,"£75,000",-6.25%,55 (0.037%),1
2946,NA,Senior Scala Developer,"1,052",74,"£83,750",-1.47%,55 (0.037%),7
2947,NA,Presales Manager,"1,052",103,"£61,250",-18.33%,55 (0.037%),4
2948,NA,Senior PMO,"1,052",92,"£45,000",-18.18%,55 (0.037%),8
2949,NA,SIEM Engineer,"1,052",90,"£60,000",20.00%,55 (0.037%),NA
2950,NA,.NET Development Team Leader,"1,052",37,"£57,500",4.54%,55 (0.037%),2
2951,NA,SSIS Analyst,"1,052",69,"£38,750",-13.88%,55 (0.037%),4
2952,NA,Cloud Administrator,"1,052",41,"£42,000",-6.66%,55 (0.037%),13
2953,NA,Acrobat,"1,053",69,"£42,500",21.42%,54 (0.036%),13
2954,NA,Simulink,"1,053",57,"£45,000",-,54 (0.036%),77
2955,NA,Avaloq,"1,053",81,"£77,500",14.81%,54 (0.036%),2
2956,NA,Jitterbit,"1,053",107,"£60,000",33.33%,54 (0.036%),6
2957,NA,NVIDIA,"1,053",88,"£55,000",29.41%,54 (0.036%),7
2958,NA,Cognos Framework Manager,"1,053",76,"£50,000",13.63%,54 (0.036%),13
2959,NA,Process Architecture,"1,053",91,"£77,376",40.68%,54 (0.036%),7
2960,NA,Ultra-Low Latency,"1,053",31,"£90,000",12.50%,54 (0.036%),10
2961,NA,Server Hardening,"1,053",73,"£45,000",-18.18%,54 (0.036%),10
2962,NA,Schematic Capture,"1,053",61,"£42,500",-5.55%,54 (0.036%),55
2963,NA,Low-Fidelity Prototypes,"1,053",77,"£50,000",5.26%,54 (0.036%),18
2964,NA,Event Correlation,"1,053",90,"£47,500",-32.14%,54 (0.036%),15
2965,NA,B2B Marketing,"1,053",8,"£45,000",-,54 (0.036%),20
2966,NA,Content Marketing,"1,053",10,"£33,000",3.12%,54 (0.036%),12
2967,NA,Work Breakdown Structure,"1,053",-15,"£57,500",4.54%,54 (0.036%),8
2968,NA,Windows Phone,"1,053",4,"£44,000",15.78%,54 (0.036%),4
2969,NA,VC++,"1,053",77,"£42,500",30.76%,54 (0.036%),12
2970,NA,802.11,"1,053",27,"£52,500",5.00%,54 (0.036%),6
2971,NA,xDSL,"1,053",88,"£35,500",-21.11%,54 (0.036%),14
2972,NA,Semantic Web,"1,053",64,"£72,500",16.00%,54 (0.036%),5
2973,NA,SAP PP Consultant,"1,053",26,"£57,500",4.54%,54 (0.036%),6
2974,NA,IT Security Consultant,"1,053",50,"£50,000",-16.66%,54 (0.036%),6
2975,NA,Junior DBA,"1,053",69,"£30,000",-,54 (0.036%),9
2976,NA,Web Project Manager,"1,053",57,"£60,000",41.17%,54 (0.036%),9
2977,NA,Software Development Team Leader,"1,053",60,"£60,000",4.34%,54 (0.036%),18
2978,NA,Senior Infrastructure Analyst,"1,053",98,"£50,000",17.64%,54 (0.036%),8
2979,NA,Web Architect,"1,053",64,"£70,000",7.69%,54 (0.036%),7
2980,NA,Service Transition Manager,"1,053",39,"£45,000",-21.73%,54 (0.036%),7
2981,NA,Monitoring Engineer,"1,053",108,"£57,500",64.28%,54 (0.036%),6
2982,NA,Hybris Architect,"1,053",23,"£102,500",2.50%,54 (0.036%),1
2983,NA,Microsoft BI Developer,"1,053",-18,"£50,000",11.11%,54 (0.036%),6
2984,NA,Senior Electronics Engineer,"1,053",94,"£45,000",-5.26%,54 (0.036%),14
2985,NA,Low Latency C++ Developer,"1,053",83,"£75,000",-31.81%,54 (0.036%),6
2986,NA,Insurance Systems Analyst,"1,053",100,"£56,250",-19.64%,54 (0.036%),2
2987,NA,DevOps Engineer - Fintech,"1,053",88,"£70,000",3.70%,54 (0.036%),13
2988,NA,Systems Management Server (SMS),"1,053",-181,"£45,750",30.71%,54 (0.036%),8
2989,NA,HubSpot,"1,054",63,"£35,000",-,53 (0.036%),10
2990,NA,OCR,"1,054",113,"£55,000",-,53 (0.036%),9
2991,NA,WCAG,"1,054",41,"£47,500",6.74%,53 (0.036%),20
2992,NA,ISO/IEC 27005,"1,054",90,"£75,000",30.43%,53 (0.036%),12
2993,NA,Cocoa Touch,"1,054",75,"£55,000",-,53 (0.036%),7
2994,NA,Socket.IO,"1,054",109,"£40,000",-48.38%,53 (0.036%),5
2995,NA,Documentum,"1,054",62,"£56,600",-12.92%,53 (0.036%),11
2996,NA,Apache Airflow,"1,054",88,"£75,000",9.09%,53 (0.036%),16
2997,NA,ClearCase,"1,054",69,"£52,350",-30.20%,53 (0.036%),12
2998,NA,Workday HCM,"1,054",72,"£55,000",-26.66%,53 (0.036%),11
2999,NA,Samba,"1,054",32,"£55,000",22.22%,53 (0.036%),11
3000,NA,Business Development Executive,"1,054",39,"£35,000",16.66%,53 (0.036%),9
3001,NA,Senior PHP Web Developer,"1,054",64,"£60,000",33.33%,53 (0.036%),7
3002,NA,Web Tester,"1,054",77,"£42,500",-,53 (0.036%),14
3003,NA,ITIL Service Manager,"1,054",15,"£59,000",18.00%,53 (0.036%),4
3004,NA,Supplier Manager,"1,054",92,"£46,500",-13.88%,53 (0.036%),5
3005,NA,Integration Specialist,"1,054",36,"£55,000",2.32%,53 (0.036%),22
3006,NA,VMware Architect,"1,054",84,"£67,500",3.84%,53 (0.036%),9
3007,NA,Senior Software Tester,"1,054",71,"£45,000",11.11%,53 (0.036%),4
3008,NA,Mobile Tester,"1,054",83,"£50,000",17.64%,53 (0.036%),5
3009,NA,Cloud Automation Engineer,"1,054",91,"£72,500",16.00%,53 (0.036%),18
3010,NA,SharePoint Support,"1,054",71,"£42,500",21.42%,53 (0.036%),6
3011,NA,Active Directory Support Engineer,"1,054",43,"£35,000",16.66%,53 (0.036%),2
3012,NA,IT Infrastructure Analyst,"1,054",66,"£41,750",4.37%,53 (0.036%),9
3013,NA,LAN Engineer,"1,054",64,"£57,500",15.00%,53 (0.036%),5
3014,NA,Graduate Technical Consultant,"1,054",100,"£25,000",-9.09%,53 (0.036%),NA
3015,NA,Payments Consultant,"1,054",100,"£65,000",-18.75%,53 (0.036%),3
3016,NA,Pricing Developer,"1,054",92,"£87,500",12.90%,53 (0.036%),3
3017,NA,Sales Representative,"1,054",91,"£30,000",-3.22%,53 (0.036%),2
3018,NA,OpenText,"1,055",-19,"£56,600",2.90%,52 (0.035%),6
3019,NA,Speakerbus,"1,055",131,"£72,500",-19.44%,52 (0.035%),NA
3020,NA,Aderant,"1,055",-10,"£47,500",-13.63%,52 (0.035%),7
3021,NA,Delphix,"1,055",80,-,-,52 (0.035%),NA
3022,NA,SQLPlus,"1,055",65,"£55,000",22.22%,52 (0.035%),7
3023,NA,Speech Recognition,"1,055",67,"£60,000",-,52 (0.035%),11
3024,NA,Inmon Methodology,"1,055",47,"£75,000",36.36%,52 (0.035%),13
3025,NA,Social Engineering,"1,055",-4,"£66,250",31.84%,52 (0.035%),24
3026,NA,Pricing Strategy,"1,055",65,"£62,500",-,52 (0.035%),7
3027,NA,SDH,"1,055",53,"£42,500",-10.52%,52 (0.035%),13
3028,NA,Cisco PIX,"1,055",62,"£57,500",12.19%,52 (0.035%),1
3029,NA,CCIE Security,"1,055",58,"£60,000",-,52 (0.035%),2
3030,NA,Rendezvous,"1,055",63,"£72,500",1.75%,52 (0.035%),5
3031,NA,MXNet,"1,055",119,"£67,500",35.00%,52 (0.035%),2
3032,NA,Unix Administrator,"1,055",41,"£52,000",15.55%,52 (0.035%),10
3033,NA,Java Web Developer,"1,055",30,"£55,000",22.22%,52 (0.035%),11
3034,NA,Senior Financial Analyst,"1,055",27,"£72,500",16.00%,52 (0.035%),7
3035,NA,Incident Analyst,"1,055",16,"£42,500",-19.04%,52 (0.035%),7
3036,NA,Agile Development Manager,"1,055",-35,"£65,000",-13.33%,52 (0.035%),12
3037,NA,Cisco Voice Engineer,"1,055",105,"£72,500",71.59%,52 (0.035%),1
3038,NA,Senior Information Security Analyst,"1,055",90,"£46,000",-13.20%,52 (0.035%),5
3039,NA,SaaS Architect,"1,055",100,"£77,500",-3.12%,52 (0.035%),13
3040,NA,New Business Sales Executive,"1,055",116,"£30,000",11.11%,52 (0.035%),5
3041,NA,E-Commerce Architect,"1,055",71,"£85,000",-,52 (0.035%),7
3042,NA,First Line Help Desk Analyst,"1,055",71,"£22,500",8.43%,52 (0.035%),6
3043,NA,PHP WordPress Developer,"1,055",58,"£40,000",23.07%,52 (0.035%),13
3044,NA,Delivery Director,"1,055",64,"£105,000",7.69%,52 (0.035%),5
3045,NA,Python Developer - Fintech,"1,055",77,"£65,000",-7.14%,52 (0.035%),2
3046,NA,FrameMaker,"1,056",121,"£40,000",11.77%,51 (0.034%),4
3047,NA,Barracuda Networks,"1,056",78,"£40,000",-5.88%,51 (0.034%),9
3048,NA,InterSystems Cache,"1,056",86,"£70,000",47.36%,51 (0.034%),2
3049,NA,HDInsight,"1,056",7,"£71,250",18.75%,51 (0.034%),11
3050,NA,Customer Segmentation,"1,056",36,"£55,000",-,51 (0.034%),7
3051,NA,Stakeholder Analysis,"1,056",45,"£51,000",-7.27%,51 (0.034%),8
3052,NA,Software Audit,"1,056",108,"£60,000",14.28%,51 (0.034%),4
3053,NA,PPP,"1,056",64,"£42,500",3.65%,51 (0.034%),8
3054,NA,IBM Integration Bus,"1,056",66,"£85,000",21.42%,51 (0.034%),11
3055,NA,OpenFin,"1,056",100,"£90,000",20.00%,51 (0.034%),5
3056,NA,Spock,"1,056",40,"£55,000",-,51 (0.034%),19
3057,NA,Contactless,"1,056",48,"£45,000",5.88%,51 (0.034%),2
3058,NA,Dynamics GP,"1,056",33,"£41,250",-8.33%,51 (0.034%),14
3059,NA,Hyperion Planning,"1,056",61,"£55,000",-8.33%,51 (0.034%),7
3060,NA,Eloqua,"1,056",-11,"£45,000",-7.69%,51 (0.034%),33
3061,NA,Commercial Manager,"1,056",25,"£55,000",-26.66%,51 (0.034%),25
3062,NA,Applications Packager,"1,056",107,"£50,000",-,51 (0.034%),21
3063,NA,ABAP Developer,"1,056",2,"£60,000",20.00%,51 (0.034%),5
3064,NA,Solutions Analyst,"1,056",53,"£40,000",-16.32%,51 (0.034%),5
3065,NA,Senior Software Test Engineer,"1,056",58,"£52,500",-4.54%,51 (0.034%),5
3066,NA,Business Solution Architect,"1,056",73,"£73,250",6.54%,51 (0.034%),4
3067,NA,Hadoop Developer,"1,056",71,"£53,750",-17.30%,51 (0.034%),11
3068,NA,Tableau Developer,"1,056",60,"£45,000",-10.00%,51 (0.034%),9
3069,NA,SAP SD Business Analyst,"1,056",64,"£55,000",-,51 (0.034%),NA
3070,NA,Risk Business Analyst,"1,056",96,"£87,500",20.68%,51 (0.034%),6
3071,NA,F# Developer,"1,056",99,"£75,000",13.20%,51 (0.034%),7
3072,NA,Technical Product Owner,"1,056",99,"£55,500",0.90%,51 (0.034%),3
3073,NA,Azure Software Engineer,"1,056",94,"£55,000",4.76%,51 (0.034%),6
3074,NA,Social Media Developer,"1,056",-13,"£47,500",-,51 (0.034%),8
3075,NA,TOGAF Architect,"1,056",58,"£80,000",0.62%,51 (0.034%),10
3076,NA,2nd Line Technical Support Analyst,"1,056",83,"£22,000",-12.00%,51 (0.034%),3
3077,NA,Product Developer,"1,056",123,"£50,000",-2.43%,51 (0.034%),7
3078,NA,Senior Windows Engineer,"1,056",-8,"£56,250",-6.25%,51 (0.034%),10
3079,NA,Essbase,"1,057",68,"£55,000",-,50 (0.034%),9
3080,NA,SAS EBI,"1,057",75,"£42,500",-26.08%,50 (0.034%),11
3081,NA,SAP Security,"1,057",63,"£65,000",30.00%,50 (0.034%),8
3082,NA,Workflow Development,"1,057",52,"£50,000",-,50 (0.034%),11
3083,NA,MoSCoW,"1,057",93,"£48,750",-18.75%,50 (0.034%),3
3084,NA,Kali Linux,"1,057",63,"£45,000",-12.62%,50 (0.034%),11
3085,NA,ZigBee,"1,057",70,"£60,000",20.00%,50 (0.034%),33
3086,NA,NVQ Level 3,"1,057",98,"£15,000",-40.00%,50 (0.034%),52
3087,NA,CLAS,"1,057",66,"£60,000",-11.11%,50 (0.034%),10
3088,NA,CCIE Routing and Switching,"1,057",90,"£75,000",9.09%,50 (0.034%),6
3089,NA,JAXB,"1,057",62,"£55,000",-15.38%,50 (0.034%),3
3090,NA,SAP ALE,"1,057",63,"£60,000",9.09%,50 (0.034%),8
3091,NA,ServiceStack,"1,057",84,"£75,000",66.66%,50 (0.034%),3
3092,NA,ProC,"1,057",53,"£57,500",12.19%,50 (0.034%),13
3093,NA,IT Auditor,"1,057",57,"£50,000",-10.51%,50 (0.034%),13
3094,NA,Problem Manager,"1,057",0,"£45,000",-16.27%,50 (0.034%),5
3095,NA,Security Risk Analyst,"1,057",72,"£57,625",15.25%,50 (0.034%),7
3096,NA,Technical Implementation Consultant,"1,057",107,"£51,500",8.42%,50 (0.034%),4
3097,NA,Test Automation Architect,"1,057",114,"£80,000",10.34%,50 (0.034%),3
3098,NA,CRM Solutions Architect,"1,057",9,"£69,250",-13.43%,50 (0.034%),19
3099,NA,Voice Network Engineer,"1,057",115,"£72,500",45.00%,50 (0.034%),3
3100,NA,Head of Cybersecurity,"1,057",84,"£80,000",-27.27%,50 (0.034%),2
3101,NA,Scala Software Engineer,"1,057",52,"£60,000",-4.00%,50 (0.034%),11
3102,NA,SharePoint Engineer,"1,057",105,"£47,500",35.71%,50 (0.034%),8
3103,NA,PMO Project Manager,"1,057",104,"£50,000",21.21%,50 (0.034%),NA
3104,NA,Transformation Analyst,"1,057",51,"£55,000",10.00%,50 (0.034%),9
3105,NA,Marketing Specialist,"1,057",68,"£45,000",12.50%,50 (0.034%),21
3106,NA,Business Change Business Analyst,"1,057",27,"£45,000",-5.26%,50 (0.034%),1
3107,NA,IBM BigFix,"1,057",106,"£60,000",21.21%,50 (0.034%),4
3108,NA,AlienVault,"1,058",87,"£45,000",-10.00%,49 (0.033%),11
3109,NA,ForeScout,"1,058",115,"£40,000",5.26%,49 (0.033%),1
3110,NA,SQL Server 2000,"1,058",46,"£47,500",11.76%,49 (0.033%),5
3111,NA,Fault Management,"1,058",73,"£76,750",53.50%,49 (0.033%),15
3112,NA,ITIL V2,"1,058",99,"£30,000",-40.00%,49 (0.033%),6
3113,NA,Security Hardening,"1,058",68,"£52,500",-8.69%,49 (0.033%),14
3114,NA,Desktop Virtualisation,"1,058",24,"£55,000",10.00%,49 (0.033%),12
3115,NA,Hyperconnected,"1,058",10,"£35,000",-,49 (0.033%),12
3116,NA,ISSAP,"1,058",75,"£75,000",7.14%,49 (0.033%),11
3117,NA,Tigerscheme,"1,058",107,"£62,500",-28.57%,49 (0.033%),7
3118,NA,GAMP,"1,058",98,"£60,000",9.09%,49 (0.033%),5
3119,NA,Semantic HTML,"1,058",25,"£43,750",-2.77%,49 (0.033%),16
3120,NA,Carpe Diem,"1,058",80,"£45,000",22.44%,49 (0.033%),3
3121,NA,Migration Consultant,"1,058",82,"£85,000",41.66%,49 (0.033%),16
3122,NA,Quantitative Analyst,"1,058",40,"£85,000",-,49 (0.033%),5
3123,NA,Senior J2EE Developer,"1,058",60,"£60,000",-,49 (0.033%),7
3124,NA,Senior Infrastructure Manager,"1,058",77,"£65,000",-,49 (0.033%),10
3125,NA,Excel VBA Developer,"1,058",99,"£62,500",38.88%,49 (0.033%),1
3126,NA,Senior Java/J2EE Developer,"1,058",61,"£60,000",-,49 (0.033%),7
3127,NA,Java Software Architect,"1,058",49,"£80,000",6.66%,49 (0.033%),5
3128,NA,Mid-Level C# .NET Developer,"1,058",72,"£38,500",10.00%,49 (0.033%),9
3129,NA,Qualitative Analyst,"1,058",40,"£85,000",-,49 (0.033%),5
3130,NA,WAN Engineer,"1,058",53,"£47,500",-4.04%,49 (0.033%),6
3131,NA,Subject Matter Expert,"1,058",85,"£70,000",30.28%,49 (0.033%),2
3132,NA,Oracle Specialist,"1,058",51,"£50,000",-4.76%,49 (0.033%),5
3133,NA,Technical Programme Manager,"1,058",116,"£85,000",34.92%,49 (0.033%),NA
3134,NA,Retail Business Analyst,"1,058",45,"£52,500",-4.54%,49 (0.033%),9
3135,NA,Objective-C Developer,"1,058",14,"£57,500",4.54%,49 (0.033%),7
3136,NA,Principal .NET Developer,"1,058",94,"£75,000",25.00%,49 (0.033%),3
3137,NA,Associate Engineer,"1,058",112,"£40,000",33.33%,49 (0.033%),7
3138,NA,SAP S/4HANA Consultant,"1,058",85,"£77,500",6.89%,49 (0.033%),9
3139,NA,EnCase,"1,058",88,"£45,000",-10.00%,49 (0.033%),8
3140,NA,Civica,"1,059",95,"£35,006",-19.98%,48 (0.032%),3
3141,NA,SnapLogic,"1,059",71,"£70,000",33.33%,48 (0.032%),2
3142,NA,Eze Software Group,"1,059",127,"£57,500",-34.28%,48 (0.032%),3
3143,NA,Electronic Patient Records,"1,059",88,"£46,500",-22.50%,48 (0.032%),23
3144,NA,BPEL,"1,059",37,"£60,000",-7.69%,48 (0.032%),5
3145,NA,Data Conversion,"1,059",12,"£52,500",13.51%,48 (0.032%),10
3146,NA,Multivariate Testing,"1,059",89,"£32,500",-35.00%,48 (0.032%),16
3147,NA,Video Processing,"1,059",38,"£47,500",-13.63%,48 (0.032%),26
3148,NA,Behavioural Analytics,"1,059",109,"£42,500",-26.08%,48 (0.032%),8
3149,NA,JCL,"1,059",98,"£41,000",1.23%,48 (0.032%),9
3150,NA,VCAP,"1,059",93,"£43,250",-27.91%,48 (0.032%),4
3151,NA,Spring.NET,"1,059",-250,"£51,250",20.58%,48 (0.032%),9
3152,NA,Moodle,"1,059",70,"£40,000",-11.11%,48 (0.032%),9
3153,NA,GCC,"1,059",46,"£47,500",-13.63%,48 (0.032%),7
3154,NA,CocoaPods,"1,059",14,"£50,000",-4.76%,48 (0.032%),13
3155,NA,Grid Computing,"1,059",69,"£80,000",53.84%,48 (0.032%),7
3156,NA,Microsoft Licensing,"1,059",98,"£120,000",159.45%,48 (0.032%),5
3157,NA,Digital Signage,"1,059",74,"£47,500",35.71%,48 (0.032%),12
3158,NA,SAP GRC,"1,059",43,"£55,000",-18.51%,48 (0.032%),6
3159,NA,FastStats,"1,059",107,"£37,500",11.11%,48 (0.032%),10
3160,NA,Legal Analyst,"1,059",22,"£37,500",-3.84%,48 (0.032%),4
3161,NA,Technical Customer Support,"1,059",90,"£37,500",15.38%,48 (0.032%),2
3162,NA,Senior Test Manager,"1,059",82,"£55,000",-4.34%,48 (0.032%),3
3163,NA,Data Centre Manager,"1,059",59,"£65,000",15.04%,48 (0.032%),5
3164,NA,Product Specialist,"1,059",28,"£47,750",6.11%,48 (0.032%),26
3165,NA,Senior Technical Engineer,"1,059",92,"£35,500",-25.26%,48 (0.032%),1
3166,NA,Windows Consultant,"1,059",77,"£60,000",14.28%,48 (0.032%),10
3167,NA,C/C++ Developer,"1,059",27,"£52,500",5.00%,48 (0.032%),12
3168,NA,Compliance Officer,"1,059",81,"£40,000",-,48 (0.032%),6
3169,NA,Junior ASP.NET MVC Developer,"1,059",84,"£26,250",-25.00%,48 (0.032%),8
